link,teacher_type,is_native,languages,about_info,since_date,main_info,country_from,country_living,rating,students_num,lessons_num,attendance,response,target,teacher_style,lessons_style,resume,reviews_num
https://www.italki.com/en/teacher/9453623/english,PROFESSIONAL TEACHER,"Teaches
English
Native",['Other'],"I am a native English speaker born and raised in the United States. I am 41 years old and recently married with no children. I am an avid traveler and have lived and visited many places in the United States and overseas. I currently reside in Istanbul, Turkey. I love to hike, camp, horseback ride and learn new things. I am an avid video gamer and techie.","italki teacher since Jul 17, 2021","Certified IELTS, Level 5 TEFL, and IBET instructor with over 15 years of teaching experience",From United States,"Living in Bandung, Indonesia (17:09 UTC+07:00)",4.9,38,79,99%,100%,USD 10.00,"As a teacher I have had the pleasure of helping English speakers learn Arabic for about 15 plus years. I enjoy helping people learn new things and achieve their goals, As an English teacher I help students build their confidence so that they can speak English like a native. I do this by helping them concentrate on their troubled areas and solidify the other things they already know. I have my own course materials designed to help students become fluent in the English language.

I have completed my Qualifi Level 5 TEFL certification, my Qualifi IBET (International Business English Training) certification from The TEFL Academy, and I am a certified IELTS instructor.","In my lessons I give the student a foundation just as our parents gave us a foundation before we went to school to learn how to use the basic rules of English. I go over pronunciation, sentence structure and all of the other relevant things needed to help you speak English with confidence and fluency like a native speaker.","IELTS IELTS Operations Australia 2022
Certificate uploaded
Business English Certification The TEFL Academy 2021
I finished the 30 hour teaching Business English course from The TEFL Academy.
Certificate uploaded
TEFL Certification The TEFL Academy 2021",12 Reviews
https://www.italki.com/en/teacher/12009826/english,PROFESSIONAL TEACHER,"Teaches
English
Native","['Spanish', 'Other']","Hello, I'm Rachel from England but I now and live in Spain. Although I should have retired several years ago I enjoy being busy and meeting new people. For that reason I have continued to teach English and have enjoyed every minute. My students and I have shared lots of information about each other's culture and pastimes and have built meaningful relationships. 
I love music of all types from Classic to Blues and Pop. Travel is also important for me and I hope to go on a Road Trip around Spain in the Springtime. I have a family of two daughters and a son and 5 grandchildren","italki teacher since Jan 27, 2022",Certified TEFL Teacher with 10 years teaching experience,From United Kingdom,"Living in Alacant, Spain (11:09 UTC+01:00)",5.0,35,161,100%,99%,USD 5.00,"For me it is important that my students enjoy their time with me and that their lessons help them to progress to achieve their goals, whatever they may be. Some students have wanted to pass their Cambridge English Exams, in which case the lesson has been very structured. However, some students have wanted to improve their confidence and fluency in spoken English. I like to provide a service that achieves my students' goals, not my own in a way that suits them. I like my students to feel relaxed as this makes speaking the language so much easier.","For the structured lessons we use the Cambridge Text Books and Audios as a means of preparing you for the exams. However, I also like to move away from the text books sometimes and maybe talk about cultural events that are about to happen. This gives you an opportunity to learn relevant new vocabulary and also to add  a little lightness to the lessons. I do prepare homework assignments with agreement from my students. If your aim is to improve your spoken English, especially for business purposes then the lessons are less structured and you may choose the topics that we discuss. I will of course set out exercises relating to the topic so you get the necessary practice.","TEFL The TEFL Academy 2015
Certificate uploaded",12 Reviews
https://www.italki.com/en/teacher/3011731/english,COMMUNITY TUTOR,"Teaches
English
Native
Spanish","['Arabic', 'Indonesian']","I'm originally from the US, though today I prefer to live outside the USA. I'm fluent in both English and Spanish. I hold an Associates Degree in Liberal Arts. I like to collect and read books, listen to international music, watch foreign films and study economics/financial markets. I'm a language fanatic and now learning Mandarin, Indonesian and Arabic.  My long term goal is to be a writer;  I've written a few short stories and a short novel, thus far.  My lessons are very relaxed and focused on the needs of the student. I'm adept at researching online to help students find digital resources they may need. I travel often so my availability and teaching schedule is always changing.","italki teacher since Aug 30, 2016","I'm originally from the US, though today I prefer to live outside the USA. I'm fluent in both English and Spanish. I hold an Associates Degree in Liberal Arts. I like to collect and read books, listen to international music, watch foreign films and study economics/financial markets. I'm a language fanatic and now learning Mandarin, Indonesian and Arabic.  My long term goal is to be a writer;  I've written a few short stories and a short novel, thus far.  My lessons are very relaxed and focused on the needs of the student. I'm adept at researching online to help students find digital resources they may need. I travel often so my availability and teaching schedule is always changing.",From United States,"Living in Tucheng, Taiwan (18:09 UTC+08:00)",4.7,546,735,99%,98%,USD 5.00,"I've been teaching on italki for about 2 years.  Previously, I worked in retail, film/tv and had no intention of teaching.  I've recently completed a 120 hour TESOL course and would like teach in person overseas.","My lessons are mostly conversational and light-hearted. I usually correct the student's grammar by typing.  I  often post links to articles and videos relating to the topics being discussed.  I prefer lessons with audio only, but video is available. I'm also available to review and edit writings with goggle docs.",,157 Reviews
https://www.italki.com/en/teacher/10883180/english,COMMUNITY TUTOR,"Teaches
English
Native",['Other'],"My name is Yondela, I am a Bsc (Biochemistry, Microbiology, Chemistry &Physiology) graduate from Nelson Mandela University in South Africa.","italki teacher since Oct 22, 2021",BSc graduate with 1 year of experience as an online English teacher.,From South Africa,"Living in Nelson Mandela, South Africa (12:09 UTC+02:00)",4.9,20,34,97%,100%,USD 5.00,I am a patient and understanding teacher. I have younger siblings who are in primary that I usually assist with homework and that is where I learned to be a patient teacher because sometimes they take longer to grasp the information. I am a teacher that tries to understand the learner's weaknesses and find ways to improve them.,"In my lessons we will use magazines, pictures, posters, flashcards and articles. The lessons will be fun, interesting and informative.",,5 Reviews
https://www.italki.com/en/teacher/9779566/english,COMMUNITY TUTOR,"Teaches
English
Native",[],"Hi ! My name is Ayanda from a beautiful country South Africa , I am 31 year of age . In my spare time i enjoy cooking and being around friends and family i also enjoy taking walks by the beach.I have worked as Au Pair in the United States for two years ,where i had to teach my then four and five year old host kids how to start reading ,writing counting and generally prepare them for going to Kindergarten.","italki teacher since Oct 27, 2021",certified TEFL teacher (ADULT & CHILDREN),From South Africa,"Living in Ethekwini, South Africa (12:10 UTC+02:00)",4.9,90,162,99%,100%,USD 5.00,"I am a very patient and understanding person , and my goal as a teacher is to help my students improve their knowledge of English and better their communication skills and boost their confidence.",My teaching style will be interactive and supportive . I will encourage participating actively in all conversations regardless of their level of  confidence.,,40 Reviews
https://www.italki.com/en/teacher/12956714/english,COMMUNITY TUTOR,"Teaches
English
Native",[],"Hello :)👋

I hope you are well😊

📍My name is Jia and I am a native English speaker from England, UK - Born and bred in Yorkshire 💪

📚I’m into personal development so happy to motivate you in a certain area of your life, recommend books and provide advice.

💃I am outgoing, friendly and very chatty. Great for conversations on any topic of your choice - to increase your vocabulary and improve your pronunciation skills. 

🗣An entertaining + professional conversationalist 💁‍♀️😂 

👩‍🎓I am a graduate from The University of Manchester so happy to discuss rainy Manchester with you ☔️😅😂

🧘‍♀️Please send me a message if you have any questions + to discuss any particular needs

Thank you😊","italki teacher since Mar 11, 2022",🗣 Experienced ESL tutor - 🏆 TEFL certified - 👩‍🎓 Healthcare degree - 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿 British,From United Kingdom,"Living in Other, Turkey (13:10 UTC+03:00)",5.0,129,297,100%,100%,USD 14.00,"🥇TEFL certified - I am happy to have a chat with you about your choice of topics including the British culture :) I can help you with your pronunciation, teach you professional terms as well as the typical British slang. 

🖋🎈MY EXPERIENCE: 

👩‍🏫 I have taught ESL to international students from all over the world 

🙌 5+ Years Teaching Experience (taught all ages) - all levels welcome :)","👩‍🏫Teaching Style:

🎯Focus on your goals and Interests
💃High-vibe, friendly, bubbly atmosphere 
📝Customised lesson+homework plan if needed
📌Lesson materials - tailored to your needs",,29 Reviews
https://www.italki.com/en/teacher/5487248/english,PROFESSIONAL TEACHER,"Teaches
English
Native","['Italian', 'Spanish', 'Turkish']","Hello, I'm a Cambridge speaking examiner (Starters, Movers, Flyers, KET, PET, FCE and CAE) and a professional CELTA qualified Cambridge exams tutor (KET, PET, FCE, CAE, CPE and IELTS). I have over 7 years experience and an impressive track record not only in helping my students achieve their dreams of passing their exams with flying colours, but also in overall student satisfaction.","italki teacher since Feb 4, 2021","Hello, I'm a Cambridge speaking examiner (Starters, Movers, Flyers, KET, PET, FCE and CAE) and a professional CELTA qualified Cambridge exams tutor (KET, PET, FCE, CAE, CPE and IELTS). I have over 7 years experience and an impressive track record not only in helping my students achieve their dreams of passing their exams with flying colours, but also in overall student satisfaction.",From United Kingdom,"Living in Other, Italy (11:10 UTC+01:00)",5.0,42,213,100%,98%,USD 15.00,"My broad range of experience spans learners' ages, styles, nationalities, competencies (whether it be face-to-face or online), and types of English (from general English to English for special purposes).  I specialise in pronunciation, grammar, and vocabulary, and my expertise and experience will allow me to help you with everything you need!","I can help you with tailored lessons in:

✔ Complete Cambridge Exam preparation (KET, PET, FCE, CAE, CPE, & IELTS) with methodology and practice

✔ Specific Cambridge Exam preparation (Reading, Use of English, Writing, Speaking, or Listening) for all levels (KET, PET, FCE, CAE, CPE, & IELTS) with methodology and practice

✔ Mastering pronunciation: How to understand and be understood by British and American English speakers",,45 Reviews
https://www.italki.com/en/teacher/4386499/english,PROFESSIONAL TEACHER,"Teaches
English
Native","['Arabic', 'French', 'Urdu']","Hello! I'm a CELTA-certified English teacher and a published author with years of experience. I have taught English for test preparation (IELTS/TOEFL/Cambridge & Edexcel IGCSE English 2nd Language, 1st Language and Literature), public speaking & academic/scientific report writing. My lessons are related to your interests and hobbies. I enjoy teaching through authentic material. For test prep, I provide mock exams and detailed feedback on what you need to improve. I also provide helpful resources and practice material for you to explore in your own time.

Message me before booking a lesson and mention what you're looking for! I am only accepting female students at the moment.","italki teacher since Dec 16, 2017","Hello! I'm a CELTA-certified English teacher and a published author with years of experience. I have taught English for test preparation (IELTS/TOEFL/Cambridge & Edexcel IGCSE English 2nd Language, 1st Language and Literature), public speaking & academic/scientific report writing. My lessons are related to your interests and hobbies. I enjoy teaching through authentic material. For test prep, I provide mock exams and detailed feedback on what you need to improve. I also provide helpful resources and practice material for you to explore in your own time.

Message me before booking a lesson and mention what you're looking for! I am only accepting female students at the moment.",From Canada,"Living in Halifax, Canada (15:10 UTC+05:00)",5.0,32,196,100%,100%,USD 20.00,"My educational background is in applied sciences and so I have extensive experience in writing academic and scientific reports, essays, proposals and in creating informative presentations. I have published a story in a short story book and served as a judge in school competitions for writing and public speaking. I offer conversation practice, report writing & document proofreading, English exam preparation, and CELTA preparation.

Follow my blog for free language resources:
learnlitenglish.wordpress.com","In my lessons I focus on teaching English through authentic material. I believe that to learn a language one must experience it all around them by watching, reading and listening to material in the language you are learning.

For exam preparation, I provide a lot of mock exams in real exam conditions and give feedback on the results. I also provide tips for tackling difficult questions and for staying confident during your exams. I always refer my students to many helpful resources and make a personalised learning plan for each student. I track your progress using the learning plan (which you receive a copy of) and add to it whenever necessary.","2015 - 2016
Peer Tutor of English Qatar University
Qatar University - Doha, Qatar
Tutoring university level students in English.
2015 - 2016
Freelance English Teacher International House - Doha
International House - Doha - Doha, Qatar
I was a freelance teacher at the centre where I completed my CELTA certification. I interacted with adults and learners of all levels",41 Reviews
https://www.italki.com/en/teacher/9078680/english,COMMUNITY TUTOR,"Teaches
English
Native","['French', 'Italian']","Hey everyone! I'm Sean, a native English speaker born in Melbourne, Australia (with 5 years tutoring experience - I guarantee a ★★★★★ experience!) but I'm currently studying economics and management in Lyon, France. I enjoy listening to music, watching films and series, playing sport, reading, cooking, debating politics and of course learning languages! Above all, I love meeting new people, learning about different cultures and developing relationships. I look forward to meeting you!

FR: Si vous êtes français.e.s et vous cherchez à améliorer votre anglais mes cours seront particulièrement accessibles. De plus si vous vouz trouvez à Lyon on pourrait même se retrouver autour d'un bon café ;)","italki teacher since Jan 25, 2022",⭐⭐⭐ Native English speaker to help improve your speaking confidence and conversational skills ⭐⭐⭐,From Australia,"Living in Lyon, France (11:10 UTC+01:00)",5.0,29,106,100%,100%,USD 9.00,"You want to feel more comfortable speaking? You want to be more spontaneous and employ more sophisticated vocabulary? You want to enjoy English movies and music? You want to make new friends, pass an exam, travel or study abroad, sound like a local by employing expressions and slang...? I can relate. Just 2 years ago I set myself the goal to learn French from scratch. Within 6 months I was conversational, in 10 months I passed a B2 exam with a perfect oral score, and I now live and study in France with a C2 level. If you want to become fluent in English, I'll make sure you achieve your goal. I understand the struggles you're facing and will provide effective habits that are proven to work!","If you're looking for a relaxed and supportive environment to improve your English you've hit the jackpot! I focus primarily on speaking but will happily assist with writing, pronunciation, questions related to living in an English-speaking country, slang and exam preparation, however please note that my lessons are not appropriate for complete beginners.

I can help you to establish positive routines that will help you to maximise your time efficiency, progress your confidence, memorise vocabulary, broaden your knowledge and achieve your goal of becoming fluent. I also guarantee a laugh and a good time - for me language learning has to be fun!",,19 Reviews
https://www.italki.com/en/teacher/7055896/english,PROFESSIONAL TEACHER,"Teaches
English
Native",['Other'],"Hello, my name is Michael Sebbens but my friends and students call me 'Mick'. I have been teaching here in Vietnam for a few years now and would like to branch out and try teaching or tutoring online.","italki teacher since Mar 5, 2020","Hello, my name is Michael Sebbens but my friends and students call me 'Mick'. I have been teaching here in Vietnam for a few years now and would like to branch out and try teaching or tutoring online.",From Australia,"Living in Saigon, Vietnam (17:10 UTC+07:00)",4.9,303,493,100%,99%,USD 5.00,I normally teach younger children so I am relaxed and calm. I try to make sure the kids have fun and learn the lesson material.,Because I teach younger children the style changes to suit the classroom. Everyone is different so no two classes are the same.  So my style will change to best suit the students and the setting.,"2018 - 2020
English Teacher Australia-Vietnam School of English
Australia-Vietnam School of English - Ho Chi Minh, Vietnam
2019 - 2020
English Teachers HAN English Venter
HAN English Venter - Dong Nai, Vietnam",112 Reviews
